6021,"Sweeteners, contains sugar and sucralose, brown, for baking",100 g,388,0g,0g,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.11 g,0,45.66 g,0.51 g,0.00 g,0.80 g,0,0.00 g,44.35 g,0.00 g,0,0,0,0,2.44 g
620,Chewing gum,100 g,360,0.3g,0g,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.70 g,2.4 g,66.08 g,0,0,0,0,0,0,0.30 g,0.042 g,0.079 g,0.137 g,0.00 mg,2.60 g
1652,"Puddings, instant, dry mix, lemon",100 g,378,0.7g,0.1g,0,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,95.40 g,0.0 g,0,0,0,0,0,0,0,0.70 g,0.100 g,0.280 g,0.250 g,0.00 mg,0.70 g
3407,"Restaurant, spaghetti with meat sauce, Italian",100 g,121,3.6g,1.1g,9mg,5.79 g,0.247 g,0.275 g,0.439 g,0.093 g,1.559 g,0.230 g,0.142 g,0.000 g,0.197 g,0.373 g,0.231 g,0.109 g,0.263 g,0.507 g,0.240 g,0.192 g,0.054 g,0.137 g,0.224 g,16.40 g,1.6 g,1.82 g,0.95 g,0.00 g,0.87 g,0.00 g,0.00 g,0.00 g,3.59 g,1.062 g,1.486 g,0.512 g,9.00 mg,73.16 g
3788,"Dip, cheese and salsa- medium, salsa con queso",100 g,143,9.5g,2.5g,9mg,3.14 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14 g,0.7 g,1.95 g,0.21 g,0.00 g,0.26 g,1.45 g,0.03 g,0.00 g,9.51 g,2.491 g,2.762 g,3.643 g,9.00 mg,73.72 g
3260,"Candies, MILKY WAY Bar, MARS SNACKFOOD US",100 g,456,17g,12g,9mg,4.01 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.17 g,1.0 g,59.69 g,0,0,0,0,0,0,17.23 g,12.016 g,2.230 g,0.260 g,9.00 mg,6.30 g
4700,"Babyfood, prepared with whole milk, mixed, cereal",100 g,96,3.4g,1.7g,9mg,4.14 g,0.153 g,0.142 g,0.286 g,0.052 g,1.099 g,0.126 g,0.097 g,0,0.244 g,0.440 g,0.166 g,0.091 g,0.202 g,0.412 g,0.155 g,0.190 g,0.064 g,0.186 g,0.239 g,12.30 g,0.8 g,4.78 g,0.00 g,0.00 g,0.00 g,4.50 g,0.00 g,0.00 g,3.38 g,1.745 g,0.855 g,0.359 g,9.00 mg,79.21 g
2954,KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,100 g,91,1.3g,0.8g,9mg,4.70 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.10 g,0.0 g,7.20 g,0,0,0,0,0,0,1.30 g,0.800 g,0,0,9.00 mg,77.70 g
2800,"Rice mix, unprepared, dry mix, cheese flavor",100 g,362,3.5g,1.8g,9mg,8.77 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.88 g,1.8 g,5.26 g,0,0,0,0,0,0,3.51 g,1.754 g,0.750 g,0.667 g,9.00 mg,8.74 g
5816,"Puddings, prepared with whole milk, regular, dry mix, vanilla",100 g,113,2.9g,1.6g,9mg,2.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92 g,0.1 g,17.09 g,0,0,0,0,0,0,2.90 g,1.643 g,0.714 g,0.197 g,9.00 mg,74.49 g
4429,"KEEBLER, Chocolate Malt Chunk Cookies, CHIPS DELUXE",100 g,537,30g,14g,9mg,4.70 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.80 g,1.7 g,31.60 g,0,0,0,0,0,0,30.40 g,13.800 g,5.900 g,8.200 g,9.00 mg,2.70 g
3196,"GARDENBURGER Original, unprepared, frozen",100 g,155,4.6g,2.4g,9mg,7.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.10 g,5.0 g,0.60 g,0,0,0,0,0,0,4.60 g,2.400 g,0.500 g,0.600 g,9.00 mg,61.90 g
3949,"Candies, SNICKERS CRUNCHER, MARS SNACKFOOD US",100 g,488,24g,13g,9mg,6.86 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.85 g,1.9 g,46.54 g,0,0,0,0,0,0,24.38 g,12.703 g,0,0,9.00 mg,4.47 g
5940,"Soup, prepared with equal volume milk, canned, tomato bisque",100 g,79,2.6g,1.3g,9mg,2.51 g,0.081 g,0.084 g,0.201 g,0.024 g,0.646 g,0.055 g,0.061 g,0,0.128 g,0.207 g,0.163 g,0.052 g,0.108 g,0.211 g,0.123 g,0.099 g,0.032 g,0.101 g,0.142 g,11.73 g,0.2 g,0,0,0,0,0,0,0,2.63 g,1.250 g,0.750 g,0.490 g,9.00 mg,81.51 g
4436,"CARRABBA'S ITALIAN GRILL, spaghetti with meat sauce",100 g,122,3.9g,1.1g,9mg,5.87 g,0.284 g,0.268 g,0.427 g,0.085 g,1.440 g,0.220 g,0.134 g,0.000 g,0.183 g,0.354 g,0.231 g,0.098 g,0.244 g,0.452 g,0.220 g,0.183 g,0.049 g,0.141 g,0.208 g,15.71 g,1.5 g,1.96 g,0.97 g,0.00 g,0.99 g,0.00 g,0.00 g,0.00 g,3.92 g,1.100 g,1.731 g,0.494 g,9.00 mg,73.32 g
5137,"Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing",100 g,84,2.7g,0.6g,9mg,0.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.50 g,1.9 g,10.30 g,0,0,0,0,0,0,2.70 g,0.600 g,0,0,9.00 mg,78.70 g
4318,"Beverages, prepared with whole milk, chocolate syrup",100 g,90,3g,1.7g,9mg,3.07 g,0.099 g,0.077 g,0.227 g,0.017 g,0.592 g,0.075 g,0.068 g,0,0.151 g,0.243 g,0.132 g,0.067 g,0.138 g,0.304 g,0.101 g,0.132 g,0.068 g,0.140 g,0.179 g,12.78 g,0.3 g,11.31 g,0,0,0,0,0,0,2.96 g,1.681 g,0.740 g,0.172 g,9.00 mg,80.51 g
5367,"KEEBLER, Original Chocolate Chip Cookies, CHIPS DELUXE",100 g,517,28g,11g,9mg,5.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.70 g,2.9 g,30.10 g,0,0,0,0,0,0,28.30 g,11.100 g,7.200 g,8.200 g,9.00 mg,2.80 g
5316,"KASHI Mushroom & Asparagus Risotto, unprepared, frozen",100 g,116,3.7g,1.9g,9mg,4.30 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00 g,2.6 g,1.30 g,0,0,0,0,0,0,3.70 g,1.900 g,0.700 g,0.400 g,9.00 mg,74.60 g
2874,"CAMPBELL'S, condensed, Cream of Chicken Soup",100 g,103,8g,2.1g,9mg,1.76 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03 g,4.1 g,0.33 g,0,0,0,0,0,0,7.98 g,2.110 g,3.750 g,1.740 g,9.00 mg,82.45 g
2220,"Candies, milk chocolate coated peanuts",100 g,519,34g,15g,9mg,13.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.70 g,4.7 g,37.59 g,0,0,0,0,0,0,33.50 g,14.600 g,12.920 g,4.330 g,9.00 mg,1.90 g
3447,"Crackers, sandwich-type with cheese filling, rye",100 g,481,22g,6g,9mg,9.20 g,0.319 g,0.396 g,0.510 g,0.185 g,2.729 g,0.330 g,0.208 g,0,0.354 g,0.649 g,0.333 g,0.161 g,0.442 g,0.972 g,0.459 g,0.286 g,0.115 g,0.273 g,0.417 g,60.80 g,3.6 g,0,0,0,0,0,0,0,22.30 g,5.987 g,12.236 g,2.863 g,9.00 mg,3.80 g
5526,"Puddings, prepared with whole milk, regular, dry mix, chocolate",100 g,120,3.2g,1.8g,9mg,3.16 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64 g,0.8 g,11.96 g,0,0,0,0,0,0,3.15 g,1.810 g,0.819 g,0.180 g,9.00 mg,73.13 g
8346,"Infant formula, with ARA and DHA, ready-to-feed, with iron, ADVANCE 24, SPECIAL CARE, SIMILAC, ABBOTT NUTRITION",100 g,71,3.3g,2.1g,2mg,1.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73 g,0.0 g,8.30 g,0,0,0,8.30 g,0,0,3.26 g,2.120 g,0.324 g,0.737 g,2.00 mg,85.61 g
1000,"Candies, KIT KAT Wafer Bar",100 g,518,26g,18g,11mg,6.51 g,0.200 g,0.200 g,0.470 g,0.120 g,1.520 g,0.160 g,0.110 g,0.000 g,0.280 g,0.520 g,0.280 g,0.160 g,0.270 g,0.650 g,0.320 g,0.190 g,0.090 g,0.150 g,0.360 g,64.59 g,1.0 g,48.68 g,0.20 g,0.00 g,0.16 g,8.21 g,0.07 g,40.04 g,25.99 g,17.953 g,5.844 g,0.895 g,11.00 mg,1.63 g
7546,"Infant formula, with ARA and DHA, ready-to-feed, ADVANCE, NATURAL CARE, SIMILAC, ABBOTT NUTRITION",100 g,78,4.2g,2.5g,2mg,2.12 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20 g,0.0 g,8.20 g,0,0,0,8.20 g,0,0,4.24 g,2.544 g,0.402 g,0.842 g,2.00 mg,85.07 g
668,Eggnog,100 g,88,4.2g,2.6g,59mg,4.55 g,0.199 g,0.191 g,0.400 g,0.057 g,0.775 g,0.128 g,0.108 g,0,0.237 g,0.383 g,0.257 g,0.120 g,0.225 g,0.349 g,0.241 g,0.201 g,0.085 g,0.199 g,0.289 g,8.05 g,0.0 g,8.05 g,0.04 g,0.04 g,0.07 g,7.84 g,0.04 g,0.04 g,4.19 g,2.591 g,1.302 g,0.198 g,59.00 mg,82.54 g
