,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
5052,5052,"Beverages, sweetened, lemon, decaffeinated, instant, tea",100 g,401,0.7g,0.1g,0,0.12 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.55 g,0.0 g,95.29 g,0,0,0,0,0,0,0.73 g,0.091 g,0.027 g,0.209 g,0.00 mg,0.13 g
534,534,"Sugars, brown",100 g,380,0g,0g,0,0.12 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.09 g,0.0 g,97.02 g,1.11 g,0.00 g,1.35 g,0.00 g,0.00 g,94.56 g,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,1.34 g
541,541,"Candies, hard",100 g,394,0.2g,0g,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.00 g,0.0 g,62.90 g,0,0,0,0,0,0,0.20 g,0.000 g,0.000 g,0.000 g,0.00 mg,1.30 g
3313,3313,"Beverages, powder, lemonade-flavor drink",100 g,380,1g,0.2g,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.90 g,0.0 g,97.15 g,22.73 g,0.00 g,2.26 g,0.00 g,0.00 g,72.16 g,1.01 g,0.183 g,0.129 g,0.531 g,0.00 mg,0.52 g
5088,5088,"Beverages, with added ascorbic acid, lemon, instant, tea",100 g,385,0.3g,0g,0,0.60 g,0.004 g,0.003 g,0.017 g,0.003 g,0.031 g,0.005 g,0.001 g,0,0.003 g,0.003 g,0.003 g,0.000 g,0.001 g,0.003 g,0.004 g,0.003 g,0.005 g,0.003 g,0.003 g,97.60 g,0.0 g,0,0,0,0,0,0,0,0.30 g,0.037 g,0.011 g,0.091 g,0.00 mg,0.30 g
942,942,"Beverages, powder, Lemonade",100 g,376,1.1g,0.2g,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.57 g,0.4 g,94.70 g,17.50 g,0.00 g,2.75 g,0.00 g,0.00 g,74.45 g,1.05 g,0.151 g,0.111 g,0.457 g,0.00 mg,1.43 g
2688,2688,"Beverages, powder, Whiskey sour mix",100 g,383,0.1g,0g,0,0.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.30 g,0.0 g,97.30 g,0,0,0,0,0,0,0.10 g,0.019 g,0.006 g,0.037 g,0.00 mg,0.60 g
6021,6021,"Sweeteners, contains sugar and sucralose, brown, for baking",100 g,388,0g,0g,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.11 g,0,45.66 g,0.51 g,0.00 g,0.80 g,0,0.00 g,44.35 g,0.00 g,0,0,0,0,2.44 g
620,620,Chewing gum,100 g,360,0.3g,0g,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.70 g,2.4 g,66.08 g,0,0,0,0,0,0,0.30 g,0.042 g,0.079 g,0.137 g,0.00 mg,2.60 g
1652,1652,"Puddings, instant, dry mix, lemon",100 g,378,0.7g,0.1g,0,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,95.40 g,0.0 g,0,0,0,0,0,0,0,0.70 g,0.100 g,0.280 g,0.250 g,0.00 mg,0.70 g
