,ID,Name,Serving_size-(g),Calories-(kcal),Water-(g/ml),Carbs-(g),Sugar-(g),Fiber-(g),Protein-(g),Of Which NonEssential-(g),Fat-(g),Of which UnHealthy-(g),Cholesterol-(mg)
203,4279,"Classic Hand-Tossed Crust DOMINO'S 14"" Cheese Pizza",100,257,44.87,33.24,4.02,2.2,10.8,0.0,8.97,4.127000000000001,17.0
204,7541,"round bottom round steak separable lean only trimmed to 0"" fat choice cooked braised Beef",100,223,57.36,0.0,0.0,0.0,33.08,18.852,9.03,3.2470000000000003,95.0
205,6728,broilers or fryers leg meat and skin cooked roasted Chicken,100,184,66.74,0.0,0.0,0.0,24.03,13.659,8.99,2.5730000000000004,127.0
206,6881,fresh loin sirloin (chops or roasts) bone-in separable lean and fat raw Pork,100,168,70.29,0.0,0.0,0.0,20.48,11.541,8.96,1.921,70.0
207,2249,rib separable lean and fat raw Veal,100,162,71.15,0.0,0.0,0.0,18.86,10.117,9.01,3.792,82.0
208,1934,Vegetarian meatloaf or patties,100,197,58.0,8.0,1.2,4.6,21.0,0.0,9.0,1.425,0.0
209,4758,mature seeds cooked boiled with salt Soybeans,100,172,62.55,8.36,2.36,6.0,18.21,10.999,8.97,1.297,0.0
210,6904,dark meat drumstick meat and skin with added solution cooked roasted Chicken,100,180,65.97,0.05,0.0,0.0,24.72,12.654,9.0,2.7840000000000003,128.0
211,6678,broilers or fryers dark meat meat only cooked stewed Chicken,100,192,65.83,0.0,0.0,0.0,25.97,13.632,8.98,2.5380000000000003,88.0
212,791,herring Atlantic raw Fish,100,158,72.05,0.0,0.0,0.0,17.96,9.71,9.04,2.1,60.0
213,3932,mature cooked boiled without salt Soybeans,100,172,62.55,8.36,3.0,6.0,18.21,10.999,8.97,1.297,0.0
214,8633,"round top round steak separable lean and fat trimmed to 1/8"" fat all grades cooked broiled Beef",100,204,59.59,0.0,0.0,0.0,30.67,17.475,9.0,3.505,90.0
215,7585,"domestic shoulder arm separable lean only trimmed to 1/4"" fat choice cooked broiled Lamb",100,200,62.28,0.0,0.0,0.0,27.71,14.579,9.02,3.512,92.0
216,7019,New Zealand imported tenderloin separable lean only cooked fast fried Beef,100,200,59.69,0.27,0.0,0.0,29.37,12.121,9.01,3.677,81.0
217,8061,"chuck short ribs boneless separable lean only trimmed to 0"" fat select raw Beef",100,161,70.24,0.0,0.0,0.0,20.14,11.2,8.99,4.02,80.0
218,2455,dark meat meat and skin raw Turkey,100,161,71.1,0.15,0.1,0.0,19.81,10.258,8.97,2.5,87.0
219,1508,ZESTA Saltines Original KEEBLER,100,418,2.5,76.1,1.6,2.5,8.2,0.0,9.0,1.3,0.0
220,8271,"chuck eye Country-Style ribs boneless separable lean and fat trimmed to 0"" fat all grades cooked braised Beef",100,296,51.91,0.0,0.0,0.0,27.69,15.162,20.55,9.105,96.0
221,5599,MEAD JOHNSON ENFAMIL Premium Infant powder Infant Formula,100,510,2.4,57.0,57.0,0.0,10.8,0.0,27.0,11.161,0.0
222,6399,MEAD JOHNSON ENFAMIL Premium LIPIL Infant powder Infant Formula,100,510,2.4,57.0,57.0,0.0,10.8,0.0,27.0,11.161,0.0
223,3181,biscuit with egg and sausage Fast Foods,100,312,44.48,21.05,0.95,0.2,11.13,6.107,20.77,6.609999999999999,161.0
224,831,semisweet chocolate Candies,100,480,0.7,63.9,54.5,5.9,4.2,2.26,30.0,17.75,0.0
225,2041,yolk raw frozen pasteurized Egg,100,296,56.44,0.81,0.16,0.0,15.53,8.695,25.6,9.606,991.0
226,8319,"chuck under blade pot roast boneless separable lean and fat trimmed to 0"" fat choice cooked braised Beef",100,306,51.93,0.0,0.0,0.0,26.39,14.934,21.48,8.632,100.0
227,6315,pound commercially prepared other than all butter unenriched Cake,100,389,23.1,52.5,0.0,1.0,5.2,3.214,17.9,4.705,58.0
228,6499,pound commercially prepared other than all butter enriched Cake,100,389,23.1,52.5,0.0,1.0,5.2,3.214,17.9,4.705,58.0
229,1870,pork and beef Luncheon sausage,100,260,58.62,1.58,0.0,0.0,15.38,9.51,20.9,7.684,64.0
230,8630,"New Zealand imported frozen rib separable lean and fat trimmed to 1/8"" fat cooked roasted Lamb",100,317,52.47,0.0,0.0,0.0,19.86,10.449,25.74,12.919,99.0
231,3884,semisweet chocolate made with butter Candies,100,477,0.7,63.4,0.0,5.9,4.2,2.26,29.7,17.548000000000002,18.0
232,2171,meat and poultry unheated Frankfurter,100,277,57.58,5.02,2.75,0.0,9.72,5.926,24.18,7.6610000000000005,78.0
233,8700,"rib eye steak/roast bone-in lip-on separable lean and fat trimmed to 1/8"" fat choice raw Beef",100,260,60.35,0.0,0.0,0.0,17.92,10.344,20.96,9.335,70.0
234,7754,"tenderloin roast separable lean and fat trimmed to 1/8"" fat select cooked roasted Beef",100,316,48.86,0.0,0.0,0.0,23.9,13.073,23.7,9.465000000000002,85.0
235,3464,potato chips white restructured baked Snacks,100,469,1.4,71.4,5.01,4.8,5.0,0.0,18.2,2.631,0.0
236,245,fennel seed Spices,100,345,8.81,52.29,0.0,39.8,15.8,9.797,14.87,0.48,0.0
237,4507,SUGAR FREE Chocolate Chip & Pecan Cookies MURRAY,100,497,3.2,58.6,1.5,5.1,6.0,0.0,31.4,9.607,7.0
238,6964,MEAD JOHNSON ENFAMIL LIPIL with iron powder with ARA and DHA Infant formula,100,511,3.3,56.2,56.0,0.0,10.8,0.0,27.0,11.238,17.0
239,1716,oriental mix rice-based Snacks,100,506,2.55,51.62,3.0,13.2,17.31,13.07,25.58,3.785,0.0
240,1240,bottled generic Water,100,0,99.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,4668,water bottled non-carbonated DANNON Beverages,100,0,99.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,6768,water bottled non-carbonated DANNON Fluoride To Go Beverages,100,0,99.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,3460,water bottled non-carbonated EVIAN Beverages,100,0,99.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,6091,water bottled non-carbonated PEPSI AQUAFINA Beverages,100,0,99.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,7403,The COCA-COLA company DASANI water bottled non-carbonated Beverages,100,0,99.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,7721,GEROLSTEINER BRUNNEN GmbH & Co. KG Gerolsteiner naturally sparkling mineral water Beverages,100,0,99.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,8558,GEROLSTEINER BRUNNEN GmbH & Co. KG (Gerolsteiner) naturally sparkling mineral bottled water Beverages,100,0,99.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,2237,tea green brewed regular Beverages,100,1,99.93,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0
249,2828,tea green brewed decaffeinated Beverages,100,0,99.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,888,water tap well Beverages,100,0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,1753,carbonated club soda Beverages,100,0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,1726,water tap municipal Beverages,100,0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,1780,water tap drinking Beverages,100,0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,4899,water bottled GERBER without added fluoride. Babyfood,100,0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,1488,water bottled PERRIER Beverages,100,0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,5713,Powerade Zero Ion4 calorie-free assorted flavors Beverages,100,0,99.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,4576,tea green ready to drink unsweetened Beverages,100,0,99.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,7795,non-carbonated bottles natural fruit flavors sweetened with low calorie sweetener Water,100,1,99.85,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,1997,tea Oolong brewed Beverages,100,1,99.84,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
