,ID,Name,Serving_size-(g),Calories-(kcal),Water-(g/ml),Carbs-(g),Sugar-(g),Fiber-(g),Protein-(g),Of Which NonEssential-(g),Fat-(g),Of which UnHealthy-(g),Cholesterol-(mg)
46,5669,MEAD JOHNSON ENFAMIL low iron ready-to-feed Infant formula,100,63,88.0,7.18,7.18,0.0,1.38,0.0,3.5,1.48,1.0
47,8035,MEAD JOHNSON ENFAMIL LIPIL low iron ready to feed with ARA and DHA Infant formula,100,64,88.35,7.18,7.18,0.0,1.38,0.0,3.5,1.454,1.0
48,5706,boxed uncooked Macaroni and cheese dinner with dry sauce mix,100,379,8.05,70.12,9.61,3.2,13.86,9.649,4.82,1.158,7.0
49,6424,ABBOTT NUTRITION SIMILAC with iron ready-to-feed Infant formula,100,65,87.79,6.92,6.9,0.0,1.36,0.0,3.55,1.239,2.0
50,6930,ABBOTT NUTRITION SIMILAC NEOSURE ready-to-feed with ARA and DHA Infant formula,100,69,87.0,6.94,6.9,0.0,1.92,0.0,3.77,2.449,2.0
51,7212,ABBOTT NUTRITION SIMILAC ADVANCE with iron ready-to-feed Infant formula,100,66,87.79,6.77,6.9,0.0,1.36,0.0,3.7,1.239,2.0
52,2195,McFLURRY with M&M'S CANDIES McDONALD'S,100,177,61.74,26.82,24.37,0.2,4.02,0.0,6.46,3.418,16.0
53,5458,soft serve blended with milk chocolate candies Light Ice Cream,100,182,61.74,26.82,24.37,0.2,4.02,0.0,6.46,3.649,16.0
54,6608,pasteurized process American vitamin D fortified Cheese product,100,312,44.22,8.8,6.19,0.0,17.12,0.0,23.11,13.418999999999999,78.0
55,5092,MEAD JOHNSON ENFAMIL with iron powder Infant formula,100,520,3.3,56.2,56.0,0.0,10.8,0.0,27.0,11.517,17.0
56,6964,MEAD JOHNSON ENFAMIL LIPIL with iron powder with ARA and DHA Infant formula,100,511,3.3,56.2,56.0,0.0,10.8,0.0,27.0,11.238,17.0
57,7325,MEAD JOHNSON ENFAMIL low iron powder not reconstituted Infant formula,100,511,3.3,56.2,56.0,0.0,10.8,0.0,27.0,11.517,17.0
58,7041,ABBOTT NUTRITION SIMILAC with iron powder not reconstituted Infant formula,100,522,2.25,54.73,54.73,0.0,10.89,0.0,28.87,9.886999999999999,14.0
59,7954,ABBOTT NUTRITION SIMILAC ADVANCE with iron powder not reconstituted Infant formula,100,522,2.25,54.73,54.73,0.0,10.89,0.0,28.87,9.886999999999999,14.0
60,3089,beluga meat dried (Alaska Native) Whale,100,327,22.39,0.0,0.0,0.0,69.86,35.83,5.34,1.326,122.0
61,4401,bearded (Oogruk) meat dried (Alaska Native) Seal,100,351,11.6,0.0,0.0,0.0,82.6,41.028,2.3,0.6,0.0
62,213,Soy protein isolate,100,335,4.98,0.0,0.0,0.0,88.32,55.338,3.39,0.422,0.0
63,1378,potassium type Soy protein isolate,100,321,4.98,2.59,0.0,0.0,88.32,55.338,0.53,0.077,0.0
64,5806,bearded (Oogruk) meat partially dried (Alaska Native) Seal,100,270,34.92,0.0,0.0,0.0,62.38,30.982,2.31,0.0,0.0
65,3893,white dried stabilized glucose reduced Egg,100,357,5.48,4.51,0.0,0.0,84.08,48.879,0.32,0.118,0.0
66,5357,white dried powder stabilized glucose reduced Egg,100,376,8.54,4.47,0.0,0.0,82.4,46.526,0.04,0.0,0.0
67,2370,cod Atlantic dried and salted Fish,100,290,16.14,0.0,0.0,0.0,62.82,33.962,2.37,0.614,152.0
68,389,white dried Egg,100,382,5.8,7.8,5.4,0.0,81.1,44.962,0.0,0.0,0.0
69,5356,white dried flakes stabilized glucose reduced Egg,100,351,14.62,4.17,0.0,0.0,76.92,43.433,0.04,0.0,0.0
70,1016,parmesan shredded Cheese,100,415,25.0,3.41,0.9,0.0,37.86,25.471,27.34,17.442,72.0
71,2215,cured bacon cooked microwaved Pork,100,476,20.38,0.48,0.0,0.0,39.01,21.449,34.12,11.755,111.0
72,3874,produced by acid wash Soy protein concentrate,100,328,5.8,25.41,20.0,5.5,63.63,39.123,0.46,0.052,0.0
73,5150,produced by alcohol extraction Soy protein concentrate,100,328,5.8,25.41,20.0,5.5,63.63,39.123,0.46,0.052,0.0
74,2853,cottonseed flour low fat (glandless) Seeds,100,332,6.9,36.1,0.0,0.0,49.83,37.082,1.41,0.31,0.0
75,5387,cottonseed meal partially defatted (glandless) Seeds,100,367,1.2,38.43,0.0,0.0,49.1,36.537,4.77,1.207,0.0
76,2602,Protein powder soy based Beverages,100,388,4.13,28.89,22.22,6.7,55.56,35.24,5.56,1.111,0.0
77,1770,deer cooked roasted Game meat,100,158,65.23,0.0,0.0,0.0,30.21,17.043,3.19,1.362,112.0
78,883,sesame flour low-fat Seeds,100,333,7.1,35.51,0.0,0.0,50.14,37.461,1.75,0.201,0.0
79,2257,boar wild cooked roasted Game meat,100,160,63.87,0.0,0.0,0.0,28.3,15.566,4.38,1.377,77.0
80,1930,popcorn cheese-flavor Snacks,100,526,2.5,51.6,0.79,9.9,9.3,5.424,33.2,6.421,11.0
81,2467,dehydrated or banana powder Bananas,100,346,3.0,88.28,47.3,9.9,3.89,2.129,1.81,0.698,0.0
82,1257,almonds blanched Nuts,100,590,4.51,18.67,4.63,9.9,21.4,15.729,52.52,3.953,0.0
83,186,canned Grape leaves,100,69,76.1,11.71,0.0,9.9,4.27,0.0,1.97,0.312,0.0
84,3556,QUAKER Whole Wheat Natural Cereal dry Cereals,100,333,9.8,74.8,2.0,9.9,11.8,0.0,2.0,0.419,0.0
85,5274,KELLOGG'S KRAVE chocolate cereal Cereals ready-to-eat,100,397,3.5,76.1,35.7,9.9,7.0,0.0,11.1,2.501,1.0
86,6402,QUAKER Natural Granola Apple Cranberry Almond Cereals ready-to-eat,100,418,3.21,74.73,27.43,9.9,9.21,0.0,11.06,1.132,2.0
87,4161,dry mix (corn and soy flours) unprepared Incaparina,100,379,7.47,60.53,0.0,9.9,21.75,14.815,5.58,0.0,0.0
88,6490,coconut meat dried (desiccated) sweetened flaked packaged Nuts,100,456,15.46,51.85,36.75,9.9,3.13,2.445,27.99,26.396,0.0
89,5186,SPECIAL K Cracker Chips Sour Cream & Onion KELLOGG'S,100,365,2.8,74.3,3.5,9.8,7.1,0.0,8.0,2.202,2.0
90,3019,SPECIAL K Savory Herb Crackers KELLOGG'S,100,406,2.5,73.8,10.6,9.8,10.9,0.0,10.0,1.5,0.0
91,3018,beaked (Northern Plains Indians) Hazelnuts,100,628,5.92,22.98,0.0,9.8,14.89,0.0,52.99,0.0,0.0
92,3515,KELLOGG SCOOBY-DOO! cereal Cereals ready-to-eat,100,376,2.29,84.0,18.5,9.8,8.6,0.0,4.09,0.6,0.0
93,4729,QUAKER Instant Oatmeal Organic Regular Cereals,100,367,8.8,67.0,1.0,9.8,16.0,0.0,6.3,1.11,0.0
94,4308,Whole Grain Honey Whole Wheat Bread PEPPERIDGE FARM,100,263,37.4,47.7,8.1,9.8,0.01,0.0,3.5,0.901,1.0
95,77,dried uncooked Figs,100,249,30.05,63.87,47.92,9.8,3.3,2.074,0.93,0.144,0.0
96,3139,Whole Grain Oatmeal Bread PEPPERIDGE FARM,100,258,38.75,46.5,7.2,9.8,0.01,0.0,3.7,0.9,0.0
97,3948,ready-to-bake or -fry whole wheat Tortillas,100,310,30.15,45.89,2.44,9.8,9.76,6.979,9.76,4.878,0.0
98,806,(dried gourd strips) Kanpyo,100,258,19.97,65.03,0.0,9.8,8.58,0.0,0.56,0.045,0.0
99,6137,wheat and bran presweetened with nuts and fruits Cereals ready-to-eat,100,385,8.5,76.2,23.6,9.7,7.1,0.0,5.6,0.8,0.0
100,3955,jellied canned OCEAN SPRAY Cranberry sauce,100,160,58.2,40.61,32.2,1.0,1.05,0.0,0.04,0.007,0.0
101,1509,canned sweetened Cranberry sauce,100,159,58.45,40.4,31.75,1.1,0.9,0.0,0.15,0.007,0.0
102,2913,whole canned OCEAN SPRAY Cranberry sauce,100,158,58.7,40.4,31.3,1.2,0.75,0.0,0.05,0.007,0.0
103,759,Hot Mustard Sauce McDONALD'S,100,190,58.65,29.08,21.76,5.0,2.6,0.0,7.31,0.987,0.0
104,522,raw Jackfruit,100,95,73.46,23.25,19.08,1.5,1.72,0.911,0.64,0.195,0.0
105,3427,KELLOGG'S NUTRI-GRAIN Cereal Bars fruit Snacks,100,365,16.7,67.61,28.98,3.0,4.22,0.0,8.67,1.442,0.0
106,3691,wild canned heavy syrup drained Blueberries,100,107,70.63,28.32,19.28,4.9,0.56,0.0,0.34,0.0,0.0
107,5881,cucumber sweet (includes bread and butter pickles) Pickles,100,91,76.2,21.15,18.27,1.0,0.58,0.355,0.41,0.067,0.0
108,282,low sodium Catsup,100,101,68.51,27.4,21.27,0.3,1.04,0.594,0.1,0.014,0.0
109,669,Catsup,100,101,68.51,27.4,21.27,0.3,1.04,0.594,0.1,0.014,0.0
110,3250,canned light syrup drained Blueberries,100,88,75.72,22.66,17.45,2.6,1.04,0.0,0.4,0.028,0.0
111,3778,hot chile sriracha CHA! BY TEXAS PETE Sauce,100,108,66.25,22.73,15.65,2.1,2.02,0.0,0.98,0.0,0.0
112,4835,GENERAL MILLS CINNAMON TOAST CRUNCH Cereals ready-to-eat,100,410,3.24,77.99,30.3,6.8,5.45,3.466,10.25,0.975,0.0
113,2030,canned syrup drained Nance,100,95,74.85,22.79,15.66,7.0,0.56,0.0,1.28,0.0,0.0
114,1006,hot chile sriracha Sauce,100,93,71.84,19.16,15.11,2.2,1.93,0.0,0.93,0.0,0.0
115,6350,such as Thompson seedless) red or green (European type raw Grapes,100,69,80.54,18.1,15.48,0.9,0.72,0.409,0.16,0.054,0.0
116,5698,oats instant fortified with raisins and spice dry Cereals,100,360,8.44,76.33,37.14,5.7,8.45,0.0,4.03,0.639,0.0
